apple,"A fruit that is typically round and comes in red, green, or yellow."
computer,"A device used for processing data and performing calculations."
python,"A high-level programming language known for its readability."
giraffe,"A tall African mammal with a long neck and spotted coat."
book,"A set of printed pages bound together between two covers."
mountain,"A large natural elevation of the earth's surface rising abruptly from the surrounding level."
ocean,"A vast body of saltwater that covers most of the Earth's surface."
robot,"A machine capable of carrying out a complex series of actions automatically."
keyboard,"A set of keys on a computer or typewriter used for typing."
rainbow,"A meteorological phenomenon caused by reflection, refraction, and dispersion of light."
sunflower,"A tall plant with large yellow flowers that turn to follow the sun."
pyramid,"A monumental structure with a square or triangular base and sloping sides that meet in a point."
microphone,"A device used to convert sound into an electrical signal."
bridge,"A structure built to span physical obstacles such as bodies of water or roads."
volcano,"A rupture in the Earth's crust where molten lava, ash, and gases can escape."
telescope,"A device used to observe distant objects by collecting electromagnetic radiation."
airplane,"A powered flying vehicle with fixed wings and a weight greater than that of the air it displaces."
chocolate,"A sweet, brown food made from roasted and ground cacao seeds."
desert,"A barren area of landscape where little precipitation occurs and consequently living conditions are hostile."
camera,"A device used to capture images or videos."
telephone,"A device used to transmit voice communication over distances."
cat,"A small domesticated carnivorous mammal with soft fur and a short snout."
library,"A place where books and other media are stored for public use."
soccer,"A team sport played between two teams of eleven players each with a round ball."
painting,"A work of art created with paint on a surface like canvas or paper."
glasses,"A pair of optical instruments worn on the face to correct vision."
moon,The natural satellite that orbits Earth and is visible at night."
train,"A series of connected vehicles traveling on railways."
forest,"A large area covered chiefly with trees and undergrowth."
guitar,"A stringed musical instrument played by strumming or plucking."
chess,"A board game played between two players with the objective to checkmate the opponent's king."
painting,The act of applying pigment to a surface to create artwork."
jacket,"A piece of clothing worn on the upper body for warmth."
notebook,"A book with blank pages used for writing notes."
mountain,"A large natural elevation of the earth's surface rising abruptly from the surrounding level."
waterfall,"A flow of water over the edge of a cliff or rock formation."
ship,"A large boat that travels across the water."
dolphin,"A highly intelligent aquatic mammal known for its playful behavior."
microphone,"A device used to convert sound into an electrical signal."
planet,"A celestial body orbiting a star, such as Earth orbiting the Sun."
cactus,"A plant adapted to survive in arid conditions, often with spines instead of leaves."
bat,"A nocturnal flying mammal with leathery wings."
sandcastle,"A small model of a castle built from sand, typically by children on a beach."
rocket,"A vehicle designed to propel itself into space."
computer,"A device used for processing data and performing calculations."
camera,"A device used to capture images or videos."
elephant,"A large herbivorous mammal with a trunk and tusks."
piano,"A large keyboard musical instrument with strings struck by hammers."
refrigerator,"A household appliance used to keep food and drinks cold."
octopus,"A marine animal with eight arms and a soft body."
crystal,"A solid material whose atoms are arranged in a highly ordered repeating pattern."
skyscraper,"A very tall building with many floors."
bicycle,"A vehicle with two wheels powered by pedaling."
fireplace,"A place in a home designed to contain a fire for warmth or cooking."
sunflower,"A tall plant with large yellow flowers that turn to follow the sun."
stadium,"A large structure with seating for spectators, often used for sports events."
keyboard,"A set of keys used to input data into a computer."
pyramid,"A monumental structure with a square or triangular base and sloping sides."
notebook,"A book with blank pages for writing notes or sketches."
earthquake,"A sudden and violent shaking of the ground, often caused by tectonic activity."
penguin,"A flightless bird that lives in the southern hemisphere, especially in Antarctica."
statue,"A carved or cast figure of a person or animal, often used as decoration or memorial."
skateboard,"A board with wheels used for riding and performing tricks."
iceberg,"A large floating mass of ice detached from a glacier."
xylophone,"A musical instrument with wooden bars struck by mallets to produce sound."
firework,"A device that produces a visible or audible effect by combustion or explosion."
umbrella,"A device used for protection from rain or sun."
zebra,"A wild African horse with black and white stripes."
trampoline,"A device consisting of a canvas sheet stretched over a frame, used for jumping."
puzzle,"A game or toy designed to test a person's ingenuity or knowledge."
harp,"A stringed musical instrument played by plucking the strings."
trophy,"A prize awarded for a victory or achievement."
clown,"A performer who entertains with funny costumes and antics, often in circuses."
kitchen,"A room where food is prepared and cooked."
spoon,"A utensil used for eating or serving food, with a shallow bowl and a handle."
sculpture,"An art form created by shaping materials like clay, stone, or metal."
sun,"A star at the center of our solar system that provides light and heat."
airport,"A facility where aircraft take off and land, including runways and terminals."
volcano,"A geological formation where magma erupts from the Earth's crust."
raccoon,"A nocturnal mammal known for its distinctive mask-like facial markings and dexterous paws."
paintbrush,"A tool used for applying paint to a surface, typically with bristles or a sponge."
drum,"A percussion instrument consisting of a hollow cylinder with a membrane stretched over one or both ends."
scientist,An expert who uses scientific methods to study the natural world."
museum,"A building where artifacts, art, and other exhibits are displayed for public viewing."
sailboat,"A boat with sails used for traveling on water powered by wind."
lighthouse,"A tall structure with a light at the top to guide ships at sea."
calendar,"A system for organizing days and months, typically shown on paper or a digital device."
submarine,"A watercraft capable of underwater operation, often used in military contexts."
aircraft,"A vehicle capable of flight, including airplanes, helicopters, and gliders."
jigsaw,"A tool with a fine blade for cutting curves and intricate shapes in wood or metal."
puzzle,"A game or toy designed to test a person's ingenuity or knowledge."
billiards,"A game played on a rectangular table with balls and cues, often referring to various cue sports."
skateboard,"A board with wheels used for riding and performing tricks."
laboratory,"A room or building equipped for scientific research, experiments, and analysis."
whale,"A large marine mammal known for its massive size and aquatic lifestyle."
astronaut,"A person trained to travel in space and operate spacecraft."
vaccine,"A biological preparation used to provide immunity against diseases."
glacier,"A large, slow-moving mass of ice formed from compacted snow."
airport,"A facility where aircraft take off and land, including runways and terminals."
volcano,"A geological formation where magma erupts from the Earth's crust."
raccoon,"A nocturnal mammal known for its distinctive mask-like facial markings and dexterous paws."
paintbrush,"A tool used for applying paint to a surface, typically with bristles or a sponge."
drum,"A percussion instrument consisting of a hollow cylinder with a membrane stretched over one or both ends."
scientist,An expert who uses scientific methods to study the natural world."
museum,"A building where artifacts, art, and other exhibits are displayed for public viewing."
sailboat,"A boat with sails used for traveling on water powered by wind."
lighthouse,"A tall structure with a light at the top to guide ships at sea."
calendar,"A system for organizing days and months, typically shown on paper or a digital device."
submarine,"A watercraft capable of underwater operation, often used in military contexts."
aircraft,"A vehicle capable of flight, including airplanes, helicopters, and gliders."
jigsaw,"A tool with a fine blade for cutting curves and intricate shapes in wood or metal."
puzzle,"A game or toy designed to test a person's ingenuity or knowledge."
billiards,"A game played on a rectangular table with balls and cues, often referring to various cue sports."
skateboard,"A board with wheels used for riding and performing tricks."
laboratory,"A room or building equipped for scientific research , experiments, and analysis."
whale,"A large marine mammal known for its massive size and aquatic lifestyle."
astronaut,"A person trained to travel in space and operate spacecraft."
vaccine,"A biological preparation used to provide immunity against diseases."
glacier,"A large , slow-moving mass of ice formed from compacted snow."
caterpillar, " The larval stage of an insect, especially a butterfly or moth, with a long segmented body."
carousel, " A revolving platform with seats, often used for amusement in fairs or theme parks."
diamond ," A precious gemstone known for its hardness and brilliance, often used in jewelry."
elephant, " A large herbivorous mammal with a trunk and tusks."
feather, " A soft, lightweight structure that grows from the skin of birds, used for flight and insulation."
gondola, " A long, narrow boat used in Venice or a type of cable car in ski resorts."
horizon ," The line where the earth or sea seems to meet the sky."
insect ," A small arthropod animal with six legs, three body segments, and usually wings."
jungle ," A dense, tropical forest with a lot of vegetation."
kaleidoscope, " A tube with mirrors and colored glass that creates changing patterns of light."
lemon ," A yellow citrus fruit known for its sour taste."
monument ," A structure built to commemorate a person or event."
nightmare ," A frightening or unpleasant dream."
oasis ," A fertile spot in a desert where water is available."
penguin ," A flightless bird that lives in the southern hemisphere, especially in Antarctica."
quilt, " A warm bed covering made of padded or quilted fabric."
robot, " A machine capable of carrying out a complex series of actions automatically."
scarf, " A piece of cloth worn around the neck for warmth or decoration."
telephone ," A device used to transmit voice communication over distances."
umbrella ," A device used for protection from rain or sun."
vulture ," A large bird of prey known for feeding on carrion."
whistle ," A small device that produces a high"pitched sound when air is forced through it."
xylophone ," A musical instrument with wooden bars struck by mallets to produce sound."
yacht, " A luxury boat used for pleasure or racing."
zookeeper ," A person who manages the care of animals in a zoo."
acorn ," The nut of an oak tree, which serves as a food source for various animals."
basil ," An aromatic herb used in cooking, especially in Mediterranean cuisine."
cactus ," A plant adapted to survive in arid conditions, often with spines instead of leaves."
